               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08634,             0.26788,            0.048452,             0.67098,             0.14773,             0.07055,            0.016813,            0.064744,             0.04843,            0.031981,               0.006,               0.006,               0.076
                   1,            0.071566,            0.071307,            0.026157,              0.7918,             0.17162,             0.11279,            0.026788,             0.06187,            0.048658,            0.029019,            0.012019,            0.012019,            0.051919
                   2,            0.066326,            0.070581,            0.023343,             0.42019,             0.28584,              0.1708,            0.056863,            0.057005,            0.046564,            0.020314,            0.018036,            0.018036,            0.027836
                   3,            0.060723,            0.068691,            0.019789,             0.68485,             0.30998,             0.32378,             0.13359,            0.048526,            0.041889,            0.016429,            0.019989,            0.019989,            0.019989
                   4,            0.053859,            0.067185,            0.016559,             0.56598,             0.41536,             0.39863,             0.16311,            0.043915,            0.040542,            0.013119,            0.019989,            0.019989,            0.019989
                   5,            0.050468,            0.066449,            0.014722,             0.59687,              0.4757,             0.46891,             0.20526,            0.040548,            0.039486,            0.011103,             0.01998,             0.01998,             0.01998
                   6,            0.048801,             0.06591,            0.013211,             0.67569,             0.49267,              0.5227,             0.24887,            0.038157,            0.039792,           0.0089592,            0.019969,            0.019969,            0.019969
                   7,            0.046059,            0.064224,            0.011763,             0.68229,             0.50053,             0.53738,             0.26198,            0.037293,            0.038894,            0.010483,            0.019956,            0.019956,            0.019956
                   8,            0.044987,            0.064195,             0.01091,             0.69814,             0.49177,             0.55514,             0.27267,            0.036292,            0.037062,            0.010654,             0.01994,             0.01994,             0.01994
                   9,            0.043422,            0.062571,            0.010366,             0.73361,             0.57111,             0.65838,             0.34602,            0.033916,            0.036876,           0.0070348,            0.019922,            0.019922,            0.019922
                  10,            0.042846,            0.062143,            0.010056,             0.70787,              0.5896,             0.62813,             0.32146,            0.035715,            0.039376,           0.0070768,            0.019901,            0.019901,            0.019901
                  11,            0.042026,            0.061415,           0.0096144,             0.75962,             0.59589,             0.69834,             0.38007,            0.033163,              0.0356,           0.0071628,            0.019878,            0.019878,            0.019878
                  12,            0.041093,            0.060955,           0.0088999,             0.77835,             0.60481,             0.71534,             0.39085,            0.032353,            0.035638,           0.0067553,            0.019853,            0.019853,            0.019853
                  13,            0.041156,            0.061361,           0.0085733,             0.76558,             0.61008,               0.737,              0.4172,            0.031481,            0.035415,           0.0068454,            0.019825,            0.019825,            0.019825
                  14,            0.039931,            0.060621,           0.0083658,             0.79215,             0.63099,             0.76697,             0.43291,            0.031371,            0.034605,           0.0055748,            0.019794,            0.019794,            0.019794
                  15,            0.039748,            0.059337,           0.0079717,             0.78573,             0.58795,             0.72789,             0.41514,            0.031125,            0.034961,            0.007498,            0.019762,            0.019762,            0.019762
                  16,            0.038966,            0.059519,           0.0077949,             0.80509,             0.64618,             0.78809,             0.46587,            0.030057,            0.033601,           0.0052489,            0.019726,            0.019726,            0.019726
